id,order_id,payment_method,amount
1,1,credit_card,1000
2,2,credit_card,2000
3,3,coupon,100
4,4,coupon,2500
5,5,bank_transfer,1700
6,6,credit_card,1100
7,7,credit_card,1200
8,8,credit_card,1200
9,9,gift_card,1900
10,10,bank_transfer,700
11,11,credit_card,2600
12,12,credit_card,700
13,13,credit_card,2200
14,14,bank_transfer,2800
15,15,credit_card,1700
16,16,bank_transfer,2100
17,17,gift_card,1600
18,18,credit_card,1900
19,19,bank_transfer,2300
20,20,coupon,400
21,21,bank_transfer,2200
22,22,bank_transfer,800
23,23,bank_transfer,1200
24,24,bank_transfer,2400
25,25,credit_card,1900
26,26,credit_card,1200
27,27,bank_transfer,800
28,28,credit_card,1500
29,29,bank_transfer,2300
30,30,credit_card,1600
31,31,gift_card,2200
32,32,coupon,1500
33,33,credit_card,1500
34,34,bank_transfer,2900
35,35,credit_card,2200
36,36,credit_card,800
37,37,credit_card,1600
38,38,credit_card,2000
39,39,coupon,1800
40,40,credit_card,1800
41,41,credit_card,2600
42,42,credit_card,2300
43,43,bank_transfer,1900
44,44,credit_card,2400
45,45,bank_transfer,600
46,46,gift_card,1400
47,47,bank_transfer,900
48,48,credit_card,2700
49,49,bank_transfer,2100
50,50,bank_transfer,2300
51,51,bank_transfer,2200
52,52,bank_transfer,2800
53,53,credit_card,1000
54,54,bank_transfer,900
55,55,bank_transfer,1900
56,56,coupon,300
57,57,credit_card,1600
58,58,bank_transfer,1100
59,59,credit_card,900
60,60,credit_card,2400
61,61,credit_card,1400
62,62,credit_card,2400
63,63,bank_transfer,2300
64,64,bank_transfer,2300
65,65,credit_card,2100
66,66,bank_transfer,2200
67,67,credit_card,2200
68,68,credit_card,2900
69,69,credit_card,900
70,70,bank_transfer,700
71,71,coupon,500
72,72,credit_card,1700
73,73,credit_card,1000
74,74,credit_card,1400
75,75,bank_transfer,1000
76,76,coupon,1300
77,77,credit_card,1600
78,78,bank_transfer,2400
79,79,credit_card,2700
80,80,bank_transfer,1500
81,81,credit_card,1500
82,82,credit_card,2700
83,83,credit_card,2400
84,84,bank_transfer,2400
85,85,bank_transfer,2100
86,86,bank_transfer,2800
87,87,credit_card,2600
88,88,coupon,500
89,89,bank_transfer,2800
90,90,bank_transfer,2300
91,91,bank_transfer,2200
92,92,bank_transfer,2500
93,93,bank_transfer,2300
94,94,bank_transfer,2900
95,95,bank_transfer,1200
96,96,bank_transfer,2600
97,97,credit_card,1700
98,98,gift_card,2200
99,99,bank_transfer,1700
